,ColorName,RGBhex,RGB_R,RGB_G,RGB_B,CIELab_L,CIELab_a,CIELab_b,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,munsell
110,NewBlue,#3261dc,50,97,220,44.7956,26.4,-84.06,0.5769,0.5241,0.9444,0.282,0.2562,0.5241,
111,Blue,#3e4cbe,62,76,190,37.6848,30.55,-76.56,0.5239,0.4628,0.8456,0.2859,0.2526,0.4628,
112,TurquoiseGreen,#7ebabe,126,186,190,71.7424,-19.95,-23.64,0.7165,0.7564,0.8746,0.3052,0.3222,0.7564,
113,DeepTurqouiseGreen,#3f6d77,63,109,119,43.2528,-14.0,-21.4,0.4828,0.5108,0.6178,0.2996,0.317,0.5108,
114,DeepBluishGreen,#2d4e5f,45,78,95,31.4324,-7.7,-22.92,0.3935,0.4089,0.5235,0.2968,0.3084,0.4089,
115,BlueGreen,#38757a,56,117,122,45.596,-19.35,-19.94,0.4923,0.531,0.6307,0.2976,0.321,0.531,
116,DeepBlueGreen,#3c6568,60,101,104,40.028,-14.55,-16.18,0.4539,0.483,0.5639,0.3024,0.3218,0.483,
117,DullBlueGreen,#697a72,105,122,114,49.6676,-9.3,-8.48,0.5475,0.5661,0.6085,0.3179,0.3287,0.5661,
118,DeepGreyGreen,#3c4e4e,60,78,78,31.7224,-7.95,-10.5,0.3955,0.4114,0.4639,0.3112,0.3237,0.4114,
119,BottleGreen,#223e43,34,62,67,24.2984,-9.8,-13.72,0.3278,0.3474,0.416,0.3004,0.3184,0.3474,
120,GreyGreen,#636c6a,99,108,106,44.8304,-5.1,-10.22,0.5142,0.5244,0.5755,0.3186,0.3249,0.5244,
121,SlateGreen,#2d3741,45,55,65,22.5584,-2.2,-14.76,0.328,0.3324,0.4062,0.3075,0.3116,0.3324,
122,GreenishBlack,#212e31,33,46,49,17.9184,-5.25,-9.74,0.2819,0.2924,0.3411,0.308,0.3194,0.2924,
123,BlackishGreen,#263134,38,49,52,19.4612,-4.5,-9.72,0.2967,0.3057,0.3543,0.3101,0.3195,0.3057,
124,OliveBlack,#232d2c,35,45,44,17.5356,-5.2,-6.46,0.2787,0.2891,0.3214,0.3134,0.3251,0.2891,
125,DeepDullGreen,#485946,72,89,70,35.9216,-11.8,1.06,0.424,0.4476,0.4423,0.3227,0.3407,0.4476,
126,DullGreen,#738664,115,134,100,53.6232,-14.9,6.02,0.5704,0.6002,0.5701,0.3277,0.3448,0.6002,
127,MyrtleGreen,#304f4d,48,79,77,31.2468,-12.85,-10.58,0.3816,0.4073,0.4602,0.3055,0.3261,0.4073,
128,Emerald,#417657,65,118,87,45.3176,-26.45,2.56,0.4757,0.5286,0.5158,0.3129,0.3477,0.5286,
129,LightGreen,#547f45,84,127,69,48.8788,-27.8,18.62,0.5037,0.5593,0.4662,0.3294,0.3657,0.5593,
130,DeepGreen,#3e5439,62,84,57,33.2652,-15.35,6.18,0.394,0.4247,0.3938,0.3249,0.3503,0.4247,
131,Green,#537447,83,116,71,45.3408,-22.25,12.98,0.4843,0.5288,0.4639,0.3279,0.358,0.5288,
132,DullYellowishGreen,#5c743f,92,116,63,45.8048,-19.85,18.62,0.4931,0.5328,0.4397,0.3364,0.3635,0.5328,
133,YellowishGreen,#466929,70,105,41,40.5152,-25.7,25.06,0.4358,0.4872,0.3619,0.3392,0.3792,0.4872,
134,BrightGreen,#63901f,99,144,31,54.76,-33.9,44.14,0.5422,0.61,0.3893,0.3517,0.3957,0.61,
135,YellowGreen,#6f8123,111,129,35,50.9204,-21.25,39.42,0.5344,0.5769,0.3798,0.3584,0.3869,0.5769,
136,AppleGreen,#9db33e,157,179,62,69.2948,-25.5,46.14,0.6843,0.7353,0.5046,0.3556,0.3821,0.7353,
137,DeepYellowGreen,#686629,104,102,41,42.1624,-9.2,27.6,0.483,0.5014,0.3634,0.3584,0.372,0.5014,
138,DullYellowGreen,#808030,128,128,48,52.1152,-12.35,34.9,0.5625,0.5872,0.4127,0.36,0.3758,0.5872,
139,BrightYellowGreen,#b3b700,179,183,0,71.8584,-20.25,65.68,0.7169,0.7574,0.429,0.3767,0.3979,0.7574,
140,BlackishOlive,#413f36,65,63,54,26.5836,-1.9,-0.72,0.3633,0.3671,0.3707,0.3299,0.3334,0.3671,
