SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
F22,40.98,38.4,17.66,68.31,12.53,25.74,28.63,64.05,0.29,0.48,0.65,0.39,0.1,0.08,0.12,0.25,0.29,84.037,57.2093,44.2621,0.645895,0.471982,0.76121
G1,2.76,3.44,3.24,21.74,-9.76,-2.88,10.17,196.47,1.61,1.39,1.37,1.49,0.01,0.01,0.04,0.26,0.29,17.5575,20.0513,23.9445,0.602488,0.580596,0.644215
G2,2.26,3.42,3.53,21.65,-19.21,-5,19.85,194.6,1.84,1.33,1.33,1.52,0.02,0.03,0.05,0.26,0.31,13.7332,20.3344,23.9883,0.637185,0.54754,0.610286
G3,2.14,3.8,4.26,22.99,-27.54,-7.22,28.47,194.7,2.05,1.24,1.25,1.5,0.03,0.04,0.03,0.22,0.27,11.1057,21.6626,25.2788,0.70107,0.543848,0.552275
G4,1.89,3.31,3.55,21.24,-25.71,-5.89,26.37,192.9,2.07,1.3,1.33,1.56,0.01,0.01,0.02,0.16,0.21,10.9769,20.4307,23.9395,0.573221,0.487661,0.515345
G5,10.19,12.33,11.31,41.73,-12.46,-3.57,12.96,195.98,1.03,0.84,0.85,0.93,0.06,0.04,0.13,0.29,0.4,27.8723,34.3509,37.2644,0.418312,0.498294,0.586456
G6,8.83,12.4,11.94,41.85,-23.97,-5.27,24.54,192.39,1.2,0.79,0.82,0.95,0.05,0.07,0.1,0.32,0.37,21.088,36.5859,38.4395,0.470126,0.437743,0.676319
G7,7.39,12.3,12.74,41.69,-36.32,-7.82,37.15,192.15,1.47,0.75,0.79,0.98,0.06,0.08,0.22,0.42,0.52,14.8997,38.8558,40.3414,0.618466,0.451117,0.746887
G8,5.87,11.88,13.24,41.02,-49.11,-10.36,50.19,191.91,1.91,0.71,0.77,1.02,0.06,0.09,0.1,0.21,0.25,10.2566,40.3646,42.0166,0.611528,0.46124,0.830137
G9,40.31,43.82,37.86,72.11,-5.91,-2.34,6.36,201.61,0.39,0.34,0.34,0.37,0.14,0.16,0.1,0.16,0.18,65.3145,68.9383,70.4645,0.791418,0.706957,0.716313
G10,37.91,43.63,38.68,71.98,-12.95,-3.67,13.46,195.82,0.45,0.31,0.33,0.38,0.18,0.2,0.18,0.22,0.25,59.247,71.3966,71.8137,0.542285,0.434141,0.709728
G11,36.11,43.6,39.72,71.96,-18.73,-5.08,19.41,195.18,0.5,0.3,0.32,0.38,0.07,0.11,0.19,0.2,0.23,54.1261,73.5575,73.3334,0.532103,0.523308,0.712434
G12,29.88,41.98,41.86,70.86,-36.04,-9.76,37.34,195.15,0.7,0.26,0.29,0.42,0.15,0.16,0.14,0.18,0.2,38.4159,76.5808,76.0089,0.524492,0.481586,0.767762
G13,34.63,45.84,59.37,73.44,-30.12,-25,39.14,219.69,0.66,0.23,0.15,0.39,0.16,0.17,0.14,0.14,0.17,40.4278,80.1505,95.5233,0.634198,0.476043,0.555093
G14,45.24,32.27,47.68,63.56,45.59,-29.4,54.25,327.18,0.26,0.65,0.26,0.45,0.14,0.17,0.15,0.24,0.3,91.1178,48.942,89.0123,0.698945,0.599003,0.764765
G15,64.4,66.57,17.8,85.29,0.47,54.69,54.7,89.51,0.12,0.21,0.64,0.16,0.12,0.14,0.16,0.22,0.28,100,84.8659,38.0126,1.12E-14,0.536244,0.852286
G16,14.79,15.33,12.91,46.08,0.06,-0.74,0.74,274.91,0.79,0.81,0.79,0.82,0.07,0.1,0.1,0.42,0.49,44.0023,38.4388,41.196,0.668273,0.665722,0.695536
G17,37.09,27.6,13.5,59.52,38.11,20.82,43.43,28.65,0.28,0.75,0.77,0.5,0.14,0.14,0.17,0.28,0.33,90.6566,41.1345,41.0269,0.562801,0.515291,0.676432
