SAMPLE_ID,XYZ_X,XYZ_Y,XYZ_Z,LAB_L,LAB_A,LAB_B,LAB_C,LAB_H,D_RED,D_GREEN,D_BLUE,D_VIS,STDEV_X,STDEV_Y,STDEV_Z,MEAN_DE,STDEV_DE,R,G,B,dR,dG,dB
K10,47.1,44.17,44.74,72.34,13,-10.77,16.88,320.35,0.28,0.39,0.27,0.35,0.13,0.16,0.13,0.2,0.26,81.6706,64.6474,81.1676,0.524018,0.542693,0.792758
K11,49.3,44.08,48.65,72.28,19.3,-15.5,24.75,321.24,0.25,0.41,0.24,0.34,0.22,0.24,0.18,0.24,0.29,86.1609,63.2582,86.4986,0.492394,0.501406,0.73735
K12,52.69,42.21,53.88,71.01,33.73,-23.48,41.09,325.16,0.21,0.47,0.2,0.35,0.09,0.11,0.11,0.18,0.21,94.2307,58.4054,93.9564,0.55598,0.50606,0.681662
K13,17.15,26.64,48.04,58.64,-40.55,-38.31,55.79,223.37,1.37,0.39,0.24,0.67,0.04,0.05,0.1,0.09,0.1,16.1138,60.8056,86.6561,0.434528,0.495426,0.709795
K14,27.22,13.59,30.59,43.63,70.97,-40.85,81.89,330.07,0.46,1.38,0.47,0.77,0.09,0.07,0.06,0.17,0.2,76.026,24.7378,72.2001,0.588419,0.51507,0.84522
K15,56.2,54.28,4.06,78.62,9.79,89.86,90.4,83.78,0.15,0.36,1.25,0.23,0.1,0.13,0.06,0.2,0.3,99.979,71.7115,12.7509,0.226511,0.499735,0.67661
K16,1.76,1.81,1.54,14.44,0.38,-0.56,0.68,304.09,1.7,1.75,1.69,1.74,0.01,0.01,0.02,0.21,0.25,20.6517,16.2094,17.9476,0.801534,0.759995,0.655853
K17,20.3,11.01,1.74,39.59,57.85,40.6,70.68,35.06,0.49,1.58,1.63,0.83,0.04,0.04,0.04,0.29,0.35,74.2217,17.6889,17.4339,0.596357,0.601464,0.663925
K18,8.32,16.61,3.43,47.76,-53.86,40.62,67.47,142.98,1.39,0.61,1.31,0.83,0.03,0.03,0.05,0.27,0.4,16.4983,46.9997,15.7757,0.77881,0.467288,0.599882
K19,5.99,3.32,24.36,21.3,37.26,-68.86,78.3,298.41,1.69,1.51,0.57,1.57,0.03,0.03,0.08,0.21,0.27,14.1973,19.6811,62.3409,0.70745,0.59547,0.622527
K20,2.78,3.6,2.36,22.28,-11.72,4.81,12.67,157.67,1.58,1.37,1.49,1.47,0.02,0.03,0.03,0.26,0.3,17.2114,19.5622,21.5541,0.765931,0.716145,0.920612
K21,1.61,2.15,1.88,16.25,-11.15,-1.09,11.2,185.58,1.86,1.57,1.6,1.7,0.03,0.03,0.04,0.3,0.35,14.6027,16.9024,20.3176,0.605055,0.627949,0.70584
K22,2.02,2.56,3.52,18.19,-9.54,-10.96,14.53,228.97,1.83,1.49,1.34,1.64,0.01,0.01,0.04,0.26,0.3,15.0339,18.4544,25.4303,0.547588,0.493112,0.568651
L1,4.11,3.36,3.22,21.43,13.33,-3.29,13.73,346.14,1.27,1.59,1.39,1.44,0.04,0.03,0.03,0.29,0.4,26.6819,17.3761,24.3898,0.49765,0.566659,0.687086
L2,4.92,3.24,3.49,21,25.97,-5.9,26.63,347.2,1.15,1.77,1.37,1.42,0.04,0.02,0.05,0.29,0.34,31.1897,14.8931,24.5044,0.420148,0.483587,0.709212
L3,5.93,3.28,3.95,21.15,37.23,-8.56,38.2,347.06,1.05,1.98,1.33,1.39,0.05,0.02,0.04,0.39,0.45,36.1144,14.2597,26.2689,0.493487,0.913326,0.740194
L4,6.54,3.55,4.15,22.14,39.52,-8.06,40.34,348.47,1.01,1.98,1.31,1.35,0.03,0.03,0.05,0.23,0.26,38.5558,15.0803,27.3214,0.463624,0.659833,0.601477
L5,14.09,12.18,11.5,41.5,15.53,-4.55,16.18,343.66,0.75,1,0.85,0.89,0.11,0.07,0.07,0.3,0.35,45.8682,29.0505,39.1641,0.545248,0.518219,0.598156
L6,16.78,12.19,12.44,41.52,31.24,-7.26,32.07,346.92,0.64,1.1,0.82,0.86,0.07,0.08,0.13,0.32,0.39,55.5081,26.5751,41.707,0.480727,0.546788,0.594967
L7,19.68,12.07,13.23,41.33,47.28,-9.82,48.29,348.26,0.55,1.26,0.81,0.84,0.08,0.07,0.16,0.29,0.35,65.0862,23.3613,44.4323,0.501955,0.459635,0.591095
L8,22.55,11.5,14.34,40.42,64.89,-14.33,66.45,347.54,0.5,1.54,0.79,0.83,0.08,0.06,0.08,0.21,0.25,74.0513,20.1967,47.426,0.448482,0.649255,0.794057
L9,44.9,43.96,38.13,72.2,7.38,-2.56,7.81,340.91,0.3,0.38,0.34,0.35,0.15,0.18,0.28,0.31,0.37,78.4053,63.7021,70.4165,1.12534,1.11666,1.90098
L10,47.48,43.88,38.87,72.15,14.89,-3.64,15.33,346.25,0.26,0.4,0.33,0.34,0.22,0.23,0.17,0.24,0.27,85.1207,62.0827,72.5117,0.678276,0.643642,1.04578
L11,49.67,43.7,40.38,72.02,21.39,-5.84,22.17,344.73,0.23,0.43,0.32,0.34,0.21,0.19,0.39,0.29,0.37,90.6589,60.6374,75.2929,0.688585,0.555056,1.04609
L12,51.6,42.9,41.46,71.48,28.84,-8.16,29.97,344.2,0.2,0.46,0.31,0.34,0.16,0.21,0.21,0.24,0.3,95.4385,58.0249,77.4451,0.674345,0.555617,1.10701
L13,12.83,20.7,42.35,52.62,-40.48,-41.81,58.19,225.93,1.76,0.48,0.29,0.79,0.08,0.12,0.14,0.13,0.18,12.147,52.9976,80.4377,0.69204,0.512376,0.714108
L14,22.64,10.25,25.59,38.29,74.45,-41.77,85.37,330.71,0.55,1.69,0.55,0.88,0.1,0.07,0.14,0.16,0.19,69.6542,20.3169,65.3678,0.577108,0.578937,0.683492
L15,49.17,44.83,1.97,72.78,16.8,95.5,96.97,80.02,0.19,0.48,1.56,0.3,0.1,0.11,0.03,0.26,0.3,95.6767,61.5102,8.59461,0.696232,0.493822,0.757804
L16,0.57,0.59,0.48,5.36,0.09,0.24,0.25,68.6,2.21,2.23,2.19,2.22,0.01,0.01,0.01,0.16,0.2,16.1845,12.9333,14.1169,0.751772,0.790402,0.944249
L17,15.21,7.56,0.55,33.05,58.75,46.66,75.03,38.46,0.62,2.02,2.13,0.98,0.04,0.03,0.01,0.14,0.17,64.8834,13.3375,13.8115,0.462048,0.624931,1.09227
L18,4.49,10.03,1.48,37.9,-52.45,40.63,66.34,142.24,1.81,0.81,1.66,1.06,0.02,0.05,0.04,0.3,0.37,12.313,36.9195,12.296,0.720846,0.460149,0.902989
L19,3.96,1.67,18.67,13.65,44.7,-70.75,83.69,302.29,2.16,1.87,0.69,1.92,0.04,0.04,0.1,0.34,0.47,10.5238,16.0897,54.2054,0.869132,0.728658,0.569333
L20,0.75,0.82,0.92,7.37,-1.37,-4.34,4.55,252.48,2.13,2.06,1.91,2.1,0.01,0.01,0.03,0.36,0.46,12.6632,12.7565,17.8037,0.739031,0.704257,0.857671
L21,1.09,0.99,1.16,8.94,4.77,-5.21,7.06,312.45,1.9,2.05,1.82,1.99,0.02,0.02,0.04,0.35,0.44,15.1483,12.9132,17.9838,0.608595,0.66194,0.703308
L22,2.27,1.78,1.67,14.26,12.88,-2.37,13.1,349.56,1.51,1.9,1.67,1.71,0.02,0.01,0.04,0.35,0.45,20.8993,14.5677,20.1555,0.585645,0.580383,0.667746
GS0,76.65,79.45,67.79,91.44,0.09,-2.08,2.08,272.59,0.1,0.1,0.09,0.1,0.09,0.1,0.13,0.1,0.12,99.4314,96.5049,96.8433,3.02054,2.24507,2.68815
GS1,70.31,72.88,61.69,88.39,0.07,-1.53,1.53,272.56,0.14,0.14,0.13,0.14,0.1,0.13,0.16,0.18,0.22,96.0699,92.3969,92.9507,1.21707,1.17183,1.25573
GS2,64.01,66.43,56.5,85.22,-0.11,-1.76,1.77,266.38,0.18,0.17,0.17,0.18,0.15,0.19,0.16,0.21,0.24,91.1306,87.5232,88.7995,0.979856,1.08528,1.2097
GS3,56.89,59.04,51.05,81.31,-0.09,-2.63,2.63,268.13,0.23,0.23,0.21,0.23,0.19,0.19,0.2,0.19,0.22,85.1454,81.3168,83.9289,1.00008,1.03379,1.20021
GS4,49.88,51.97,43.96,77.26,-0.62,-1.34,1.47,245.18,0.28,0.28,0.27,0.29,0.13,0.1,0.08,0.17,0.2,78.6124,74.9053,76.819,0.828607,0.976177,1.13495
GS5,43.66,45.33,38.46,73.11,-0.13,-1.43,1.43,264.84,0.34,0.34,0.33,0.34,0.22,0.23,0.16,0.29,0.34,72.9949,68.712,71.3484,0.88221,0.917841,1.03859
GS6,38.1,39.72,33.47,69.27,-0.65,-1.03,1.21,237.63,0.39,0.4,0.39,0.4,0.15,0.18,0.24,0.27,0.32,67.66,63.4488,65.7074,0.686114,0.847474,0.992582
GS7,32.65,34.01,28.82,64.97,-0.51,-1.24,1.34,247.79,0.46,0.46,0.45,0.47,0.1,0.12,0.2,0.3,0.36,61.9526,57.6364,60.4665,0.738149,0.701392,0.895945
GS8,28.14,29.24,24.94,60.99,-0.21,-1.48,1.49,261.86,0.52,0.53,0.51,0.54,0.1,0.08,0.11,0.26,0.32,56.9535,52.4208,56.031,0.612921,0.602959,0.960484
GS9,23.82,24.69,20.8,56.77,0.08,-0.86,0.86,275.03,0.59,0.61,0.59,0.61,0.07,0.11,0.16,0.33,0.39,52.3779,47.1362,50.6077,0.587045,0.599881,0.762654
GS10,20,20.7,17.6,52.62,0.18,-1.18,1.19,278.71,0.66,0.68,0.66,0.69,0.16,0.16,0.15,0.44,0.49,47.5372,42.7857,46.2922,0.548417,0.589211,0.702398
GS11,16.64,17.27,14.84,48.59,-0.07,-1.51,1.51,267.42,0.74,0.76,0.73,0.76,0.11,0.13,0.13,0.35,0.39,43.0237,38.5809,42.6091,0.592726,0.487332,0.648587
GS12,13.82,14.33,12.24,44.7,0.06,-1.21,1.21,272.82,0.82,0.84,0.82,0.85,0.08,0.07,0.12,0.44,0.49,38.9558,34.607,38.4845,0.492454,0.499975,0.643675
GS13,11.07,11.44,9.9,40.31,0.29,-1.56,1.58,280.63,0.91,0.94,0.91,0.94,0.06,0.08,0.14,0.38,0.46,34.9772,30.7395,34.6553,0.532736,0.487912,0.622978
GS14,8.9,9.14,7.95,36.25,0.75,-1.58,1.75,295.19,1,1.04,1,1.04,0.07,0.07,0.07,0.31,0.39,31.5243,27.3502,31.4738,0.529268,0.455238,0.643257
GS15,7.03,7.3,6.19,32.49,-0.12,-0.73,0.74,260.31,1.11,1.13,1.1,1.14,0.04,0.05,0.05,0.36,0.42,28.1051,24.3591,28.2691,0.658375,0.567103,0.621558
GS16,5.5,5.64,4.85,28.48,0.7,-1.05,1.26,303.77,1.21,1.25,1.21,1.25,0.04,0.04,0.07,0.26,0.31,25.0458,21.2865,25.3438,0.500734,0.536679,0.587144
GS17,4.11,4.24,3.68,24.47,0.2,-1.12,1.14,280.07,1.34,1.37,1.32,1.37,0.01,0.02,0.06,0.34,0.41,21.6512,18.4273,22.6627,0.621968,0.489077,0.668225
GS18,3.01,3.11,2.74,20.46,0.26,-1.43,1.45,280.19,1.47,1.51,1.45,1.51,0.02,0.04,0.04,0.36,0.42,18.7764,15.9982,20.1507,0.601647,0.543288,0.667832
GS19,2.11,2.16,1.91,16.28,0.74,-1.39,1.57,297.95,1.62,1.67,1.6,1.67,0.02,0.03,0.03,0.21,0.25,16.4078,14.1549,17.8058,0.584981,0.59299,0.726025
GS20,1.4,1.44,1.24,12.19,0.41,-0.81,0.9,296.81,1.8,1.85,1.78,1.84,0.01,0.01,0.02,0.23,0.29,14.8426,12.8249,16.2203,0.612559,0.617072,0.671735
GS21,1.07,1.11,0.96,9.86,0.13,-0.78,0.79,279.77,1.93,1.96,1.89,1.96,0.01,0.01,0.01,0.27,0.33,14.0698,12.6739,16.0689,0.690812,0.607387,0.669981
GS22,0.78,0.81,0.67,7.31,0.16,0.03,0.16,10.56,2.06,2.09,2.04,2.09,0.01,0.01,0.01,0.18,0.21,13.3275,12.6034,15.9433,0.889973,0.815441,0.814618
GS23,0.47,0.48,0.45,4.35,0.08,-0.92,0.92,274.73,2.32,2.31,2.23,2.32,0.01,0.01,0.01,0.13,0.16,13.5141,13.6094,16.669,0.925787,0.786972,0.814445
